"Tijdstempel","Wat is je participant ID? ","Ik denk dat ik deze website vaak zou willen gebruiken","Ik vond deze website onnodig complex","Ik vond deze website gemakkelijk te gebruiken","Ik denk dat ik ondersteuning nodig zou hebben om deze website te kunnen gebruiken","Ik vond dat de verschillende functies van deze website goed op elkaar waren afgestemd","Ik vond dat er te veel inconsistentie in deze website zat","Ik kan me voorstellen dat de meeste mensen deze website heel snel zouden leren gebruiken","Ik vond deze website erg omslachtig/onhandig in gebruik","Ik voelde me erg zelfverzekerd tijdens het gebruik van deze website","Ik moest veel leren voordat ik met deze website aan de slag kon"
"2026/01/23 7:13:22 p.m. CET","J1","4","2","4","1","4","2","4","1","4","1"
"2026/01/23 7:24:44 p.m. CET","J2","4","2","4","1","4","4","4","1","4","1"
"2026/01/24 12:16:29 a.m. CET","J3","1","5","2","4","1","2","1","4","2","4"
"2026/01/24 8:17:29 p.m. CET","E3","2","1","5","2","2","3","4","2","4","1"
"2026/01/24 9:24:49 p.m. CET","E2","4","1","5","1","3","3","5","1","4","1"
"2026/01/24 9:40:27 p.m. CET","E1","3","4","2","4","3","3","2","4","2","3"
"2026/01/25 7:46:14 p.m. CET","E4","2","4","3","1","3","3","4","4","4","1"
"2026/01/25 8:05:12 p.m. CET","T2","2","2","4","1","3","2","2","4","2","1"
"2026/01/25 8:09:31 p.m. CET","T1","2","2","3","1","3","5","3","4","2","2"
"2026/01/25 9:44:44 p.m. CET","J5","3","2","4","5","4","2","2","3","4","1"
"2026/01/25 10:37:28 p.m. CET","J6","4","4","3","4","2","2","2","4","2","4"
"2026/01/25 11:15:38 p.m. CET","J7","4","1","4","1","3","1","4","1","4","3"
"2026/01/26 9:57:44 a.m. CET","S1","3","1","4","1","3","1","4","1","5","1"
"2026/01/26 10:06:26 a.m. CET","E5","3","4","2","4","1","3","2","4","2","3"
"2026/01/26 10:09:09 a.m. CET","S2","5","3","4","2","3","2","4","2","4","1"
"2026/01/26 10:11:45 a.m. CET","S3","1","2","4","4","4","3","3","2","4","1"
"2026/01/26 11:14:57 a.m. CET","T3","3","1","4","1","4","1","4","1","4","1"
"2026/01/26 11:30:17 a.m. CET","s4","4","4","1","3","4","1","2","5","2","3"
"2026/01/26 11:38:51 a.m. CET","T4","3","2","4","1","4","2","4","1","4","1"
"2026/01/26 11:59:20 a.m. CET","S5","3","2","5","1","3","2","5","2","4","2"
"2026/01/26 12:33:09 p.m. CET","J4","3","4","3","3","3","2","2","4","4","2"
